time,price
2022-09-30,905.64
2022-10-01,898.55
2022-10-02,884.67
2022-10-03,905.95
2022-10-04,931.13
2022-10-05,925.66
2022-10-06,918.81
2022-10-07,907.90
2022-10-08,901.30
2022-10-09,905.53
2022-10-10,887.22
2022-10-11,881.28
2022-10-12,885.05
2022-10-13,887.02
2022-10-14,882.67
2022-10-15,876.25
2022-10-16,885.43
2022-10-17,898.34
2022-10-18,888.10
2022-10-19,874.59
2022-10-20,870.29
2022-10-21,876.61
2022-10-22,880.30
2022-10-23,898.32
2022-10-24,888.29
2022-10-25,928.20
2022-10-26,959.57
2022-10-27,940.12
2022-10-28,959.58
2022-10-29,981.63
2022-10-30,972.43
2022-10-31,971.92
2022-11-01,972.41
2022-11-02,951.59
2022-11-03,956.24
2022-11-04,1009.72
2022-11-05,1010.30
2022-11-06,982.00
2022-11-07,974.86
2022-11-08,876.54
2022-11-09,753.89
2022-11-10,841.61
2022-11-11,819.26
2022-11-12,803.10
2022-11-13,782.48
2022-11-14,793.04
2022-11-15,802.77
2022-11-16,790.09
2022-11-17,786.67
2022-11-18,790.15
2022-11-19,791.26
2022-11-20,763.96
2022-11-21,745.26
2022-11-22,763.71
2022-11-23,788.19
2022-11-24,791.77
2022-11-25,788.96
2022-11-26,790.82
2022-11-27,789.88
2022-11-28,776.15
2022-11-29,789.46
2022-11-30,820.83
2022-12-01,810.71
2022-12-02,817.82
2022-12-03,802.28
2022-12-04,814.57
2022-12-05,808.07
2022-12-06,811.41
2022-12-07,796.17
2022-12-08,814.46
2022-12-09,809.68
2022-12-10,810.74
2022-12-11,805.67
2022-12-12,807.27
2022-12-13,827.21
2022-12-14,824.39
2022-12-15,805.52
2022-12-16,760.02
2022-12-17,769.62
2022-12-18,768.61
2022-12-19,752.59
2022-12-20,773.91
2022-12-21,769.18
2022-12-22,770.83
2022-12-23,770.04
2022-12-24,771.30
2022-12-25,769.94
2022-12-26,774.86
2022-12-27,767.51
2022-12-28,756.06
2022-12-29,758.27
2022-12-30,757.39
2022-12-31,756.15
2023-01-01,759.17
2023-01-02,765.64
2023-01-03,766.06
2023-01-04,780.53
2023-01-05,777.14
2023-01-06,785.04
2023-01-07,783.95
2023-01-08,797.79
2023-01-09,806.51
2023-01-10,816.16
2023-01-11,837.99
2023-01-12,863.56
2023-01-13,896.84
2023-01-14,939.63
2023-01-15,938.64
2023-01-16,946.51
2023-01-17,943.60
2023-01-18,917.26
2023-01-19,936.07
2023-01-20,995.11
2023-01-21,989.14
2023-01-22,991.33
2023-01-23,1000.36
2023-01-24,977.06
2023-01-25,1001.22
2023-01-26,1001.24
2023-01-27,1006.17
2023-01-28,999.37
2023-01-29,1031.33
2023-01-30,991.19
2023-01-31,1004.67
2023-02-01,1030.50
2023-02-02,1026.59
2023-02-03,1036.28
2023-02-04,1035.64
2023-02-05,1015.78
2023-02-06,1007.36
2023-02-07,1036.67
2023-02-08,1024.67
2023-02-09,969.12
2023-02-10,962.33
2023-02-11,974.22
2023-02-12,968.05
2023-02-13,960.68
2023-02-14,982.65
2023-02-15,1061.47
2023-02-16,1026.26
2023-02-17,1067.81
2023-02-18,1070.41
2023-02-19,1063.96
2023-02-20,1083.32
2023-02-21,1064.52
2023-02-22,1055.00
2023-02-23,1049.31
2023-02-24,1020.23
2023-02-25,1016.05
2023-02-26,1034.76
2023-02-27,1031.69
2023-02-28,1015.40
