time,price
2023-01-11,1875.3
2023-01-12,1896.7
2023-01-13,1920.15
2023-01-16,1917.6
2023-01-17,1908.2
2023-01-18,1903.7
2023-01-19,1931.8
2023-01-20,1925.95
2023-01-23,1930.6
2023-01-24,1937
2023-01-25,1945.78
2023-01-26,1928.8
2023-01-27,1927.286
2023-01-30,1923.1
2023-01-31,1928.26
2023-02-01,1950.17
2023-02-02,1912.3
2023-02-03,1864.9
2023-02-06,1867.04
2023-02-07,1872.1
2023-02-08,1875.04
2023-02-09,1860.66
2023-02-10,1865.14
2023-02-13,1853.36
2023-02-14,1854.37
2023-02-15,1835.6
2023-02-16,1836.24
2023-02-17,1841.73
2023-02-20,1840.9
2023-02-21,1834.82
2023-02-22,1824.29
2023-02-23,1821.9
2023-02-24,1809.87
2023-02-27,1816.7
2023-02-28,1826.69
