time,price
2023-01-18,11416.2
2023-01-19,11327.6
2023-01-20,11615.1
2023-01-23,11869.9
2023-01-24,11908.1
2023-01-25,11818.5
2023-01-26,11998.1
2023-01-27,12166.4
2023-01-30,11934.3
2023-01-31,12061.4
2023-02-01,12462.4
2023-02-02,12632.3
2023-02-03,12566.1
2023-02-06,12475.8
2023-02-07,12703.8
2023-02-08,12521.7
2023-02-09,12412.4
2023-02-10,12303.7
2023-02-13,12512.4
2023-02-14,12585.5
2023-02-15,12712.9
2023-02-16,12431.4
2023-02-17,12351.9
2023-02-20,12338.4
2023-02-21,12085.6
2023-02-22,12140.7
2023-02-23,12165
2023-02-24,11973.4
2023-02-27,12071.2
2023-02-28,12018.4
