time,link
2022-01-11,https://www.cnbc.com/2022/01/11/goldman-sachs-euro-area-will-outgrow-the-us-economy-in-2022-2023.html
2022-01-11,https://www.cnbc.com/2022/01/11/wef-report-warns-of-covid-inequalities-fueling-social-tensions.html
2022-01-11,https://www.cnbc.com/2022/01/11/weather-disasters-cost-145-billion-last-year-in-the-us-says-noaa.html
2022-01-11,https://www.cnbc.com/2022/01/11/plenty-of-risks-but-analysts-are-skeptical-on-a-serious-stock-market-downturn.html
2022-01-12,https://www.cnbc.com/2022/01/12/china-economy-ppi-and-cpi-inflation-numbers-rise-in-december.html
2022-01-12,https://www.cnbc.com/2022/01/12/biden-says-cpi-inflation-report-shows-progress-in-slowing-down-high-prices.html
2022-01-12,https://www.cnbc.com/2022/01/12/higher-pay-eclipses-inflation-bite-for-some-.html
2022-01-12,https://www.cnbc.com/2022/01/12/world-bank-slashes-2022-global-growth-forecast.html
2022-01-12,https://www.cnbc.com/2022/01/12/china-economy-goldman-cuts-china-gdp-for-2022-amid-lockdowns-omicron.html
2022-01-12,https://www.cnbc.com/2022/01/12/messy-2021-jobs-reports-take-toll-on-joe-biden.html
2022-01-12,https://www.cnbc.com/2022/01/12/consumer-prices-continued-to-rise-in-december-reaching-a-40-year-high.html
2022-01-12,https://www.cnbc.com/2022/01/12/heres-what-jerome-powells-second-term-as-fed-chair-means-to-you.html
2022-01-13,https://www.cnbc.com/2022/01/13/erdogan-blames-turkeys-currency-woes-on-foreign-financial-tools-as-central-bank-reserves-fall.html
2022-01-13,https://www.cnbc.com/2022/01/13/why-used-car-prices-are-pushing-inflation-higher.html
2022-01-13,https://www.cnbc.com/2022/01/13/chinas-zero-covid-strategy-hurts-consumer-spending-more-than-manufacturing.html
2022-01-13,https://www.cnbc.com/2022/01/13/the-no-1-esg-issue-for-americans-isnt-climate-change.html
2022-01-13,https://www.cnbc.com/2022/01/13/profits-for-sp-500-companies-rose-22percent-in-the-fourth-quarter-and-nearly-50percent-in-2021-estimates-show.html
2022-01-13,https://www.cnbc.com/2022/01/13/biden-to-nominate-sarah-bloom-raskin-lisa-cook-and-philip-jefferson-to-key-fed-positions.html
2022-01-13,https://www.cnbc.com/2022/01/13/omicron-will-challenge-hong-kongs-zero-covid-policy-ex-us-diplomat.html
2022-01-13,https://www.cnbc.com/2022/01/13/irs-warns-there-will-be-delays-processing-2021-tax-returns-and-refunds.html
2022-01-14,https://www.cnbc.com/2022/01/14/germany-gdp-2021-2point7percent-country-tackled-supply-chain-issues-surging-covid.html
2022-01-14,https://www.cnbc.com/2022/01/14/india-covid-third-wave-is-expected-to-slow-near-term-economic-growth-.html
2022-01-14,https://www.cnbc.com/2022/01/14/uk-economy-finally-bigger-than-before-pandemic-in-november.html
2022-01-14,https://www.cnbc.com/2022/01/14/china-economy-december-trade-data-imports-and-exports-.html
2022-01-14,https://www.cnbc.com/2022/01/14/gop-pollster-frank-luntz-democrats-will-be-crushed-in-midterms-due-to-inflation.html
2022-01-14,https://www.cnbc.com/2022/01/14/mark-cuban-says-80percent-of-his-non-shark-tank-investments-are-in-crypto.html
2022-01-14,https://www.cnbc.com/2022/01/14/south-koreas-central-bank-raises-rates-amid-inflation-worries.html
2022-01-14,https://www.cnbc.com/2022/01/14/is-25percent-the-new-20percent-how-much-to-tip-in-a-post-pandemic-world.html
2022-01-17,https://www.cnbc.com/2022/01/17/draghi-effect-how-italy-economy-has-changed.html
2022-01-17,https://www.cnbc.com/2022/01/17/moodys-chinas-zero-covid-policy-prolongs-supply-chain-disruptions-.html
2022-01-17,https://www.cnbc.com/2022/01/17/china-economy-gdp-for-december-and-full-year-2021.html
2022-01-17,https://www.cnbc.com/2022/01/17/death-of-austerity-huge-elections-political-events-to-watch-in-emerging-markets.html
2022-01-17,https://www.cnbc.com/2022/01/17/stock-market-futures-open-to-close-news.html
