time,open,high,low,close,Volume,Volume MA
1571695200,7935.1,7978.4,7827.4,7832.2,NaN,NaN
1571781600,7835.8,7908.4,7801.1,7907.4,NaN,NaN
1571868000,7909.7,7974.6,7903.9,7916,NaN,NaN
1571954400,7914.9,8032.7,7909.7,8027.5,NaN,NaN
1572213600,8041.8,8119.3,8041,8104,NaN,NaN
1572300000,8097.7,8111.6,8043.9,8048.6,NaN,NaN
1572386400,8047.3,8133.4,8009.7,8110.4,NaN,NaN
1572472800,8118.8,8131.2,8039.1,8084.2,NaN,NaN
1572559200,8080.5,8159,8077.6,8153.3,NaN,NaN
1572818400,8159.8,8227.1,8158.9,8207.8,NaN,NaN
1572904800,8209.5,8241.6,8187.3,8208.5,NaN,NaN
1572991200,8198,8221.3,8154.5,8194.2,NaN,NaN
1573077600,8204.9,8269.2,8179.8,8217.9,NaN,NaN
1573164000,8219.9,8253,8182.7,8253,NaN,NaN
1573423200,8244.7,8253.2,8199.8,8242.4,NaN,NaN
1573509600,8241.3,8294.8,8222.4,8266.3,NaN,NaN
1573596000,8263,8277.2,8215.8,8260.5,NaN,NaN
1573682400,8259.3,8276.1,8211.3,8260.2,NaN,NaN
1573768800,8256.5,8317,8255.2,8313.1,NaN,NaN
1574028000,8312.4,8362.2,8275.5,8329.5,NaN,NaN
1574114400,8326.5,8375.2,8309.2,8340.9,NaN,NaN
1574200800,8321.7,8340.8,8224.2,8285.9,NaN,NaN
1574287200,8238.5,8300.9,8233.2,8266.7,NaN,NaN
1574373600,8268,8307.1,8227.6,8271.9,NaN,NaN
1574632800,8299.2,8372.6,8292.3,8372.1,NaN,NaN
1574719200,8365.5,8416.1,8362.2,8387.2,NaN,NaN
1574805600,8395.1,8445.3,8393.1,8445.3,NaN,NaN
1574892000,8449,8453.8,8411.6,8440.1,NaN,NaN
1574978400,8435.5,8447.3,8403.3,8417,NaN,NaN
1575237600,8418.4,8454.6,8274.5,8314.4,NaN,NaN
1575324000,8306.5,8335.2,8166.6,8255.6,NaN,NaN
1575410400,8247.5,8317.2,8218.6,8296.3,NaN,NaN
1575496800,8288.4,8336.2,8269.7,8308.7,NaN,NaN
1575583200,8303,8406.1,8303,8396.5,NaN,NaN
1575842400,8401.1,8424.9,8360.4,8362.6,NaN,NaN
1575928800,8346.9,8395.9,8295.3,8357.4,NaN,NaN
1576015200,8359.3,8409.7,8343.6,8401.9,NaN,NaN
1576101600,8401.2,8495.9,8380.2,8464.5,NaN,NaN
1576188000,8481.9,8522.9,8435.4,8491.5,NaN,NaN
1576447200,8509.1,8594.1,8505.5,8578.1,NaN,NaN
1576533600,8574.2,8603.1,8569.6,8582.1,NaN,NaN
1576620000,8570.5,8619.3,8570,8591.1,NaN,NaN
1576706400,8599.1,8651.1,8587,8649.9,NaN,NaN
1576792800,8652.6,8701.8,8643.3,8681.5,NaN,NaN
1577052000,8687.2,8722.1,8685.9,8700.2,NaN,NaN
1577138400,8704.5,8714.8,8686.3,8708.3,NaN,NaN
1577397600,8777.1,8823.4,8749.7,8772.8,NaN,NaN
1577656800,8761.8,8790.8,8672.7,8712.9,NaN,NaN
1577743200,8708.7,8737,8674.2,8730.1,NaN,NaN
1577916000,8753.7,8870.9,8750.8,8870.9,NaN,NaN
1578002400,8875.4,8889,8717.2,8793.2,NaN,NaN
1578261600,8739.6,8851,8707.9,8848.2,NaN,NaN
